Algorithm,InputType,InputSize,AvgTimeMillis,AvgMemoryMB,ValidRuns,Stable
TimSort,PartiallySorted,500000,37.5109,28.56,10,true
CocktailShakerSort,PartiallySorted,500000,30840.6714,2.25,10,true
SelectionSort,Random,500000,103211.2552,6.97,10,false
BubbleSort,Reversed,500000,121773.0204,5.53,10,false
CocktailShakerSort,Reversed,500000,137985.6282,5.71,10,true
MergeSort,Random,1000000,198.3427,91.83,10,true
HeapSort,Random,1000000,664.7125,0.10,10,false
QuickSort,Random,1000000,118.7142,0.03,10,false
SelectionSort,PartiallySorted,500000,102936.8006,4.99,10,false
CombSort,Random,1000000,155.3909,0.05,10,false
TournamentSort,Random,1000000,1841.3967,10.31,10,false
IntroSort,Random,1000000,91.8581,0.07,10,false
TimSort,Random,1000000,161.2099,67.22,10,true
SelectionSort,Reversed,500000,150493.8082,7.75,10,false
BubbleSort,Sorted,1000000,2.8854,0.03,10,false
BubbleSort,PartiallySorted,500000,160472.4853,6.24,10,false
InsertionSort,Sorted,1000000,3.0017,0.05,10,true
MergeSort,Sorted,1000000,114.3354,113.39,10,true
HeapSort,Sorted,1000000,125.5944,0.03,10,false
QuickSort,Sorted,1000000,35.8861,0.01,10,false
CocktailShakerSort,Sorted,1000000,2.9881,0.01,10,true
CombSort,Sorted,1000000,55.1229,0.01,10,false
TournamentSort,Sorted,1000000,118.8500,10.03,10,false
IntroSort,Sorted,1000000,26.2787,0.01,10,false
TimSort,Sorted,1000000,65.0619,65.13,10,true
CocktailShakerSort,Random,500000,241791.1370,10.19,10,true
InsertionSort,Random,1000000,150101.7617,6.42,10,true
BubbleSort,Random,500000,342695.0603,23.45,10,false
SelectionSort,Random,1000000,495345.0662,8.06,10,false
MergeSort,Reversed,1000000,176.5669,112.21,10,true
HeapSort,Reversed,1000000,164.1676,0.06,10,false
QuickSort,Reversed,1000000,88.6142,0.04,10,false
SelectionSort,Sorted,1000000,475352.1490,6.55,10,false
CombSort,Reversed,1000000,99.5979,0.05,10,false
TournamentSort,Reversed,1000000,129.0044,10.05,10,false
IntroSort,Reversed,1000000,82.8915,0.05,10,false
TimSort,Reversed,1000000,118.2207,67.13,10,true
